open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,date,ma20,bb_mid,bb_upper,bb_lower,long_signal,short_signal
1754352000000,115002.1,115073.3,112582.4,114069.6,119316.428,1754438399999,13578532103.25080,2692070,56631.208,6445877392.10480,0,2025-08-05 00:00:00+00:00,116985.7,99102.83954545454,120961.300541212,77244.37854969708,False,False
1754438400000,114069.6,115674.2,113304.5,114941.0,98598.67,1754524799999,11289146520.59820,2207330,48509.767,5554848440.68140,0,2025-08-06 00:00:00+00:00,116773.92,99199.38954545454,121148.9943352484,77249.78475566069,False,False
1754524800000,114941.0,117580.0,114211.4,117419.9,134409.055,1754611199999,15603976236.92760,2477601,70320.817,8162960433.91320,0,2025-08-07 00:00:00+00:00,116750.09500000002,99311.48318181818,121379.9432858958,77243.02307774057,False,False
1754611200000,117419.9,117591.8,115850.0,116628.2,89828.611,1754697599999,10476168967.77680,2041990,43852.502,5114363104.08760,0,2025-08-08 00:00:00+00:00,116690.78499999999,99416.3890909091,121593.43348230037,77239.34469951782,False,False
1754697600000,116628.2,117906.7,116304.0,116422.1,77924.534,1754783999999,9109077804.53820,1513938,40145.588,4693361379.96370,0,2025-08-09 00:00:00+00:00,116651.09,99515.66727272728,121800.52363946053,77230.81090599403,False,False
1754784000000,116422.1,119291.9,116413.2,119255.3,130331.779,1754870399999,15402998283.64030,2420657,65839.952,7779415999.36120,0,2025-08-10 00:00:00+00:00,116747.345,99616.97545454545,122056.67942601259,77177.27148307831,False,False
1754870400000,119255.3,122450.0,118050.0,118641.9,217088.254,1754956799999,26140833129.32720,4260404,108472.648,13067526473.92270,0,2025-08-11 00:00:00+00:00,116679.755,99710.14,122294.36251819735,77125.91748180265,False,False
1754956800000,118641.8,120270.0,118154.3,120081.0,125708.555,1755043199999,14984075258.14630,2609039,62783.535,7485321680.12820,0,2025-08-12 00:00:00+00:00,116748.13,99809.72090909092,122558.55465552752,77060.88716265431,False,False
1755043200000,120080.9,123715.9,118829.0,123323.9,188073.873,1755129599999,22796282824.22410,3654672,93301.574,11312196562.83800,0,2025-08-13 00:00:00+00:00,116999.61000000002,99923.28318181819,122890.0334352249,76956.53292841147,True,False
1755129600000,123323.9,124545.6,117004.0,118242.2,259801.57,1755215999999,31188419054.09930,4770691,121538.327,14590183740.30540,0,2025-08-14 00:00:00+00:00,117032.545,99996.29136363635,123093.02644985991,76899.55627741279,False,False
1755216000000,118242.2,119184.0,116736.3,117279.2,120542.357,1755302399999,14214818128.97240,2714933,59281.350,6991379574.40840,0,2025-08-15 00:00:00+00:00,117002.045,100088.83181818182,123298.3939646057,76879.26967175794,False,False
1755302400000,117279.1,117857.1,117089.7,117329.7,46674.42,1755388799999,5485340879.19250,1042735,22363.887,2628326778.88380,0,2025-08-16 00:00:00+00:00,116897.36000000002,100190.26636363637,123505.04462139812,76875.48810587463,False,False
1755388800000,117329.8,118558.0,117121.6,117353.8,54386.804,1755475199999,6411151083.02420,1143753,26068.765,3073122879.26020,0,2025-08-17 00:00:00+00:00,116862.98000000001,100303.21136363636,123708.56026312883,76897.8624641439,False,False
1755475200000,117353.9,117499.4,114605.0,116183.6,147219.779,1755561599999,17039158070.22880,3078165,69088.986,7995299306.21840,0,2025-08-18 00:00:00+00:00,116777.31000000001,100400.97545454545,123891.00526569934,76910.94564339156,False,False
1755561600000,116183.6,116687.7,112666.6,112824.2,141024.287,1755647999999,16131720046.58870,3133574,67997.774,7778182042.72960,0,2025-08-19 00:00:00+00:00,116529.97,100483.98318181817,124019.91910169483,76948.04726194151,False,False
1755648000000,112824.1,114569.0,112301.8,114220.5,130522.37,1755734399999,14819274146.38680,2930095,64879.793,7366865522.62610,0,2025-08-20 00:00:00+00:00,116456.12999999998,100573.62227272727,124167.85511408177,76979.38943137277,False,False
1755734400000,114220.5,114777.0,111944.0,112462.2,96406.356,1755820799999,10907840294.14140,2397213,47004.863,5318559666.85120,0,2025-08-21 00:00:00+00:00,116417.0,100655.33545454546,124289.14480703701,77021.52610205392,False,False
